#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           PSP FIELDS Fluxgate Magnetometer (MAG) data
#     PROJECT                         PSP
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     SOURCE_NAME                     PSP_FLD>Parker Solar Probe FIELDS
#     DESCRIPTOR                      MAG_RTN_1min>Fluxgate Magnetometer data in RTN coordinates
#     DATA_TYPE                       L2>Level 2 Data
#     DATA_VERSION                    01
#     TEXT                            PSP FIELDS Fluxgate Magnetometer data. Time resolution varies with instrument                         
#                                      mode, ranging from 2.3-292.9 samples/sec, corresponding to 2-256 samples per                          
#                                      0.874 seconds (0.874 = 2^25 / 38.4 MHz, see reference [2]).                                           
#                                     The Magnetometer has 4 ranges - +/-1024, +/-4096, +/-16,384, +/-65,536 nT, selected                   
#                                      by the ranging algorithm, based on the ambient magnetic field. Precision is                           
#                                      +/- 15 bits, based on the 16-bit ADC.                                                                 
#                                     References:
#                                     1. Fox, N.J., Velli, M.C., Bale, S.D. et al. Space Sci Rev (2016) 204: 7. https://doi.org/10.1007/s112
#                                     2. Bale, S.D., Goetz, K., Harvey, P.R. et al. Space Sci Rev (2016) 204: 49.                           
#                                      https://doi.org/10.1007/s11214-016-0244-5                                                             
#     MODS                            Version 1
#     LOGICAL_FILE_ID                 psp_fld_l2_mag_RTN_1min_20190220_v01
#     LOGICAL_SOURCE                  psp_fld_l2_mag_RTN_1min
#     LOGICAL_SOURCE_DESCRIPTION      PSP FIELDS 1 minute cadence Fluxgate Magnetometer (MAG) data in RTN coordinates
#     PI_NAME                         Stuart D. Bale (bale@berkeley.edu)
#     PI_AFFILIATION                  UC Berkeley Space Sciences Laboratory
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     PARENTS                         spp_fld_l1_mago_hk_20190220_v00.cdf
#                                     spp_fld_l1_mago_hk_20190221_v00.cdf, spp_fld_l1_mago_survey_20190220_v00.cdf
#                                     spp_fld_l1_mago_survey_20190221_v00.cdf
#     MAG_OFFSET_CALIBRATION_FILES    psp_mago_zeros_range0_2019_v03.dat
#     DEPENDENCIES                    None
#     FILE_NAMING_CONVENTION          source_datatype_descriptor_yyyyMMdd
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/PT1M
#     GENERATED_BY                    PSP FIELDS SOC
#     RULES_OF_USE                    PSP/FIELDS Rules of the Road available at http://fields.ssl.berkeley.edu/rules/
#     GENERATION_DATE                 Tue Nov  5 21:37:36 2019
#     HTTP_LINK                       http://fields.ssl.berkeley.edu/data/
#     LINK_TEXT                       PSP/FIELDS SOC
#     LINK_TITLE                      Data Link
#     TIME_RESOLUTION                 1 minute
#     SVN_VERSION                     25679
#     CDAWEB_PARENTS                  psp_fld_l2_mag_rtn_1min_00000000_v01
#                                     psp_fld_l2_mag_rtn_1min_20220905_v02, psp_fld_l2_mag_rtn_1min_20220906_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time in TT2000 for 1 minute cadence MAG waveform data
#  2. Magnetic field in RTN coordinates (1 minute cadence)
#
#  
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
# Generated by CDAWeb on: Tue Apr  9 15:11:59 2024
EPOCH                                               B_R                         B_T                         B_N
                                                 (@_1_)                      (@_2_)                      (@_3_)
dd-mm-yyyy hh:mm:ss.mil.mic                          nT                          nT                          nT
05-09-2022 12:00:30.000.000                    -509.537                     28.4921                    -41.6255
05-09-2022 12:01:30.000.000                    -482.092                    -130.917                     8.97342
05-09-2022 12:02:30.000.000                    -514.247                     7.21201                    -19.2390
05-09-2022 12:03:30.000.000                    -508.725                     29.0753                    -72.4636
05-09-2022 12:04:30.000.000                    -503.715                    -61.9780                    -72.2088
05-09-2022 12:05:30.000.000                    -515.893                     52.6837                     3.23365
05-09-2022 12:06:30.000.000                    -510.038                     18.3232                    -56.1848
05-09-2022 12:07:30.000.000                    -503.270                    -25.0956                   -0.745020
05-09-2022 12:08:30.000.000                    -502.908                    -28.7531                    -30.9871
05-09-2022 12:09:30.000.000                    -504.797                     23.4096                    -43.6807
05-09-2022 12:10:30.000.000                    -509.795                     38.1279                     21.7695
05-09-2022 12:11:30.000.000                    -473.428                     121.910                     123.606
05-09-2022 12:12:30.000.000                    -478.949                     175.612                     70.1126
05-09-2022 12:13:30.000.000                    -454.536                     87.8387                     16.7902
05-09-2022 12:14:30.000.000                    -426.432                     160.055                     161.741
05-09-2022 12:15:30.000.000                    -479.644                     121.828                    -48.9368
05-09-2022 12:16:30.000.000                    -493.031                     114.186                     56.6892
05-09-2022 12:17:30.000.000                    -500.968                     139.358                     29.7569
05-09-2022 12:18:30.000.000                    -517.085                    -20.2877                    -12.0711
05-09-2022 12:19:30.000.000                    -509.706                    -5.63629                  -0.0226601
05-09-2022 12:20:30.000.000                    -499.926                     24.5411                    -79.9724
05-09-2022 12:21:30.000.000                    -463.674                     129.394                     101.812
05-09-2022 12:22:30.000.000                    -484.434                    -92.9817                    -64.7667
05-09-2022 12:23:30.000.000                    -499.618                     69.9300                     15.3113
05-09-2022 12:24:30.000.000                    -448.869                     219.282                    -32.6506
05-09-2022 12:25:30.000.000                    -508.286                     56.9330                    -53.1670
05-09-2022 12:26:30.000.000                    -504.905                     47.3002                    -57.4398
05-09-2022 12:27:30.000.000                    -496.240                     114.485                    -19.7632
05-09-2022 12:28:30.000.000                    -468.419                     167.523                     73.1066
05-09-2022 12:29:30.000.000                    -492.986                     101.059                    -12.8918
05-09-2022 12:30:30.000.000                    -510.396                     37.6337                    -15.4003
05-09-2022 12:31:30.000.000                    -515.154                     76.0099                    -6.58729
05-09-2022 12:32:30.000.000                    -463.668                    -86.3040                    -96.1646
05-09-2022 12:33:30.000.000                    -468.687                     129.629                    -169.777
05-09-2022 12:34:30.000.000                    -489.381                    -47.9969                     29.6911
05-09-2022 12:35:30.000.000                    -506.155                    -1.02937                    -24.8546
05-09-2022 12:36:30.000.000                    -453.186                     182.289                    -200.035
05-09-2022 12:37:30.000.000                    -486.294                    -32.9709                    -141.131
05-09-2022 12:38:30.000.000                    -508.061                    -67.4803                     94.6758
05-09-2022 12:39:30.000.000                    -462.569                     226.018                     62.2939
05-09-2022 12:40:30.000.000                    -511.998                    -55.9767                   -0.687731
05-09-2022 12:41:30.000.000                    -482.802                     138.764                     49.1809
05-09-2022 12:42:30.000.000                    -518.782                    -22.4304                     6.44569
05-09-2022 12:43:30.000.000                    -511.560                     124.735                    -4.96978
05-09-2022 12:44:30.000.000                    -498.168                     42.5934                     99.6008
05-09-2022 12:45:30.000.000                    -503.089                    -46.1548                    -31.7130
05-09-2022 12:46:30.000.000                    -497.156                     20.1242                     131.393
05-09-2022 12:47:30.000.000                    -474.720                     114.957                     2.77362
05-09-2022 12:48:30.000.000                    -497.508                    -51.6994                     108.725
05-09-2022 12:49:30.000.000                    -510.932                     105.877                   -0.565297
05-09-2022 12:50:30.000.000                    -516.834                    -127.476                    -14.6129
05-09-2022 12:51:30.000.000                    -514.502                     1.64656                     42.4176
05-09-2022 12:52:30.000.000                    -498.275                     73.5310                    -134.960
05-09-2022 12:53:30.000.000                    -525.108                     32.7135                    -25.3995
05-09-2022 12:54:30.000.000                    -527.391                    -6.20979                    -59.7651
05-09-2022 12:55:30.000.000                    -534.304                    -50.0007                    -25.4490
05-09-2022 12:56:30.000.000                    -533.239                     24.2609                    -90.4416
05-09-2022 12:57:30.000.000                    -520.438                    -67.3719                    -105.869
05-09-2022 12:58:30.000.000                    -480.107                    -73.4924                    -175.149
05-09-2022 12:59:30.000.000                    -502.412                    -142.305                    -20.4930
05-09-2022 13:00:30.000.000                    -479.379                    -171.480                    -80.6561
05-09-2022 13:01:30.000.000                    -418.439                    -153.109                    -288.194
05-09-2022 13:02:30.000.000                    -472.531                    -122.063                    -214.556
05-09-2022 13:03:30.000.000                    -477.992                    -13.8695                    -181.839
05-09-2022 13:04:30.000.000                    -535.966                     47.7955                    -52.5559
